Rhynchospora modesti-lucennoi	2720861
Rosmarinus officinalis	2926634
Rumex thyrsoides	4035501
Ruta montana	3832369
Saponaria officinalis	3085360
Saxifraga cintrana	3754087
Saxifraga granulata	7339311
Saxifraga tridactylites	3032833
Scilla peruviana	2767432
Scorzonera baetica	3111015
Scrophularia sambucifolia	3736059
Sedum brevifolium	5690592
Senecio minutus	3097273
Senecio doronicum	3107708
Serapias cordigera	5314725
Serapias lingua	5314814
Serratula tinctoria	5388835
Sibthorpia europaea	3732653
Sideritis hirsuta	7307698
Silene nutans	5384781
Smyrnium perfoliatum	6027089
Sonchus maritimus	3105703
Spiranthes aestivalis	2805343
Spiranthes spiralis	2805322
Stauracanthus boivinii	2951959
Succisa pratensis	2888811
Tanacetum mucronulatum	3118402
Teucrium haenseleri	3896438
Teucrium scordium	7308040
Teucrium fruticans	2926902
Thalictrum speciosissimum	7277286
Theligonum cynocrambe	2919295
Thelypteris palustris	5275316
Thesium humifusum	5579047
Thesium humile	6037999
Thlaspi perfoliatum	3050634
Thymbra capitata	5607804
Thymelaea villosa	5523455
Thymus capitellatus	7307657
Ulex europaeus	2951984
Utricularia australis	7297904
Utricularia gibba	3172407
Valeriana tuberosa	4096119
Velezia rigida	3085355
Verbascum barnadesii	7333277
Verbascum litigiosum	3738202
Viola lactea	5663943
Viola kitaibeliana	5331342
Wolffia arrhiza	5330092
Woodwardia radicans	5275359
Cistus monspeliensis	2874030
Piptatherum miliaceum	2705793
Scilla autumnalis	2767178
Phillyrea angustifolia	7325947
Origanum vulgare	2926612
Linum strictum	7293191
Micromeria graeca	7307060
Hypericum tomentosum	3715248
Cirsium arvense	3113414
Arundo donax	2703041
Reseda phyteuma	3040253
Ceratocapnos claviculata	7315229
Argyrolobium zanonii	2963689
Biscutella sempervirens	3041798
Chaenorhinum serpyllifolium	7332405
Cirsium filipendulum	3112852
Convolvulus siculus	3678083
Catapodium marinum	4105452
Doronicum plantagineum	3142980
Chamaesyce peplis	3066483
Halimium lasianthum	6438155
Helianthemum apenninum	7331290
Helianthemum marifolium	7331330
Hypericum linariifolium	4933119
Iris xiphium	5297966
Juncus tenageia	2701736
Legousia scabra	3158770
Montia fontana	3084783
Omphalodes kuzinskyanae	4059780
Paeonia broteri	3614373
Pisum sativum	5347845
Primula acaulis	7290926
Pterospartum tridentatum	2940312
Scorzonera humilis	3111049
Sedum forsterianum	5688926
Staehelina dubia	3112552
Thapsia nitida	6026841
Withania frutescens	3801152
Crocus serotinus	2747442
Cortaderia selloana	2704523
Trifolium hirtum	5359445
Silene laeta	5586762
Centaurea ornata	3128025
Rhododendron ponticum	7327990
Alnus glutinosa	2876213
Succisa pinnatifida	4104103
Suaeda vera	6035538
Mesembryanthemum nodiflorum	3084837
Alyssum granatense	3045178
Cyperus fuscus	2716489
Juncus fontanesii	2701484
Pycreus flavescens	2730894
Cyperus difformis	2714796
Spergula arvensis	3085810
Dorycnium pentaphyllum	2959128
Sedum amplexicaule	7333991
Tordylium maximum	3633319
Ballota hirsuta	7306605
Bryonia dioica	6422396
Frangula alnus	3039454
Cistus psilosepalus	3595594
Geranium purpureum	2890541
Galium viscosum	2913900
Ammoides pusilla	6026523
Lycopus europaeus	5341478
Myriophyllum alterniflorum	5361773
Erodium chium	3828217
Aristolochia baetica	3588865
Tribulus terrestris	5421116
Plantago algarbiensis	4155899
Carex extensa	2726545
Nigella damascena	5371702
